PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FT;P3044S2;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6420S2;P6424S1;P6424S2;P6424S3;P6424S5;P6426;P6430;P6430S1;P3045S1;P3045S2;P3045S3;P3046;P3363;P9440;P6500;P3364;P3364S1;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P3047;P3048;P3049;P6765;P6765S1;P3051;P3051S1;P3052;P3052S1;P3053;P3365;P3365S1;P3054;P3054S1;P3055;P3055S1;P3056;P3057;P6760;P3058S1;P3058S2;P3058S3;P3058S4;P3058S5;P3059;P3061;P3062S1;P3062S2;P3062S3;P3062S4;P3062S5;P3062S6;P3062S7;P3062S8;P3062S9;P3063;P3063S1;P3064;P3064S1;P3065;P3066;P3067;P3067S1;P3067S2;P6775;P3068;P6750;P3073;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3366;P3069;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P1880S1;P7040;P7045;P7050;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;OCI;INGLABO;RAMA2D_R4;RAMA4D_R4;OFICIO_C8
20241252;12;2024;8038208;1;2;1;60;;1;1246.1714807;15;1;4111;2;;;;;;;;;;;;60;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;6;;;;900000;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;;1;;1;1;12;40;;;40;;;;1;9;;2;;2;;;;2;2;1;0;60;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;10;2;1;900000;41;4111;9313
20241252;12;2024;8038210;1;1;1;60;;2;1829.3839934;15;1;141;1;1;;;1;;2;;2;2;2;2;15;7;;2;2;2;2;1;2;300000;2;;2;;;2;;1;100000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;42;;;42;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;2;2;2;2;2;1;3;20;8;1;400000;01;0141;6121
20241252;12;2024;8038211;1;1;1;60;;2;1091.9323308;15;1;141;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;4;7;;;;;;;;;;;;;2;;;;;;;;6800000;12;0;300000;0;0;0;500000;0;600000;0;1;5000;1;150000;;;2;;;2;;500000;1;6000000;3;;9;2;12;15;2;;15;;;;2;8;;2;;2;;;;2;2;1;0;120;4;;2;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;10;30;8;1;500000;01;0141;9212
20241252;12;2024;8038214;1;1;1;60;;2;1091.9323308;15;1;141;2;;;;;;;;;;;;600;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;1500000;1;0;0;0;0;0;12000;0;1000000;0;2;;1;100000;;;2;;;2;;90000;1;1400000;3;;9;2;12;10;2;;10;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;5;2;1;90000;01;0141;9212
20241252;12;2024;8038215;1;1;1;60;;2;1471.814568;15;1;4111;1;1;;;1;;2;;2;2;2;2;60;1;;9;9;9;2;1;2;800000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;2;9;;2;;2;;;;2;2;1;12;12;1;;11;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;1;11;20;3;1;800000;41;4111;9313
20241252;12;2024;8038216;1;1;1;60;;2;3344.8806575;15;1;510;1;2;1;;1;;1;;2;2;1;1;24;1;;2;2;1;1;2;2;1500000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;7;10;;1;;1;2;1;3;1;1;1;0;36;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;40;4;1;1500000;05;0510;6210
20241252;12;2024;8038217;1;1;1;60;;2;2582.9204285;15;1;510;1;2;1;;1;;1;;2;2;1;2;240;1;;2;1;1;1;1;2;1300000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;1300000;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;46;;;46;;;;8;10;;1;;1;2;1;15;1;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;11;20;1;1;1300000;05;0510;8111
20241252;12;2024;8038218;1;1;1;60;;2;1471.8687329;15;1;141;2;;;;;;;;;;;;480;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;20000000;12;0;0;0;0;0;22000;0;3000000;0;2;;1;300000;;;2;;;2;;1500000;1;15000000;3;;9;2;12;30;2;;30;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;2;2;1;1500000;01;0141;6121
20241252;12;2024;8038218;1;2;1;60;;2;1471.8687329;15;1;4724;2;;;;;;;;;;;;360;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;1;1;1;7;;;;;;;;;;;;;1;98;1;0;98;0;0;0;;;;;;;;;;;;;;;;;;2;;;2;;;1;98;3;;6;2;12;40;;;40;;;;1;1;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;14;;2;1;;47;4724;5223
20241252;12;2024;8038218;1;3;1;60;;2;1471.8687329;15;1;8412;1;2;2;12;1;;1;;2;2;2;2;10;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;1;;4500000;4500000;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;4500000;1;45000000;1;;1;1;10;40;;;40;;;;8;7;;1;;1;2;2;7;1;2;1;6;24;1;;1;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;2;1;1;10;2;1;4500000;84;8412;4110
20241252;12;2024;8038220;1;1;1;60;;2;2172.0227769;15;1;510;1;1;;;1;;2;;2;2;2;2;8;1;;2;2;9;1;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;40;;;40;;;;3;10;;1;;1;2;1;98;1;2;1;12;12;1;;3;;2;;;;;;2;;;;1;2;1;1;2;2;2;2;2;2;2;1;1;2;1;2;1;1;11;30;8;1;1000000;05;0510;8111
20241252;12;2024;8038221;1;1;1;60;;2;2381.6535325;15;1;113;2;;;;;;;;;;;;56;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;3;3;6;;;;900000;900000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;900000;1;7800000;1;;10;1;12;30;2;;20;6;;2;4;8;;2;;2;;;;2;2;1;12;72;1;;11;;2;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;2;1;2;2;1;2;2;1;11;60;8;1;900000;01;0113;6111
20241252;12;2024;8038221;1;2;1;60;;2;2381.6535325;15;1;141;2;;;;;;;;;;;;48;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;3;3;6;;;;700000;700000;1;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;700000;1;6800000;3;;9;2;12;25;2;;25;;;;2;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;1;2;1;2;1;2;2;2;2;2;2;2;1;2;1;2;1;1;3;20;3;1;700000;01;0141;9212
20241252;12;2024;8038222;1;1;1;60;;2;1992.9677209;15;1;141;2;;;;;;;;;;;;120;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;1;1;7;;;;;;;;;;;;;2;;;;;;;;10000000;12;0;200000;0;0;0;14000;0;2000000;0;1;40000;1;300000;;;2;;;2;;550000;1;7000000;3;;9;2;12;20;2;;20;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;1;1;2;1;1;3;1;2;1;550000;01;0141;6121
20241252;12;2024;8038223;1;1;1;60;;2;2327.3117548;15;1;510;1;1;;;1;;1;;2;2;2;2;36;1;;2;2;9;2;1;2;1000000;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;45;;;45;;;;4;10;;1;;1;2;1;7;2;2;1;0;18;1;;3;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;2;2;11;40;8;1;1000000;05;0510;6210
20241252;12;2024;8038223;1;2;1;60;;2;2327.3117548;15;1;141;2;;;;;;;;;;;;180;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;1;3;7;;;;;;;;;;;;;2;;;;;;;;5600000;12;0;0;0;0;0;800000;0;380000;1700000;1;12000;2;;;;2;;;2;;350000;1;5000000;3;;7;2;12;20;2;;20;;;;1;8;;2;;2;;;;2;2;2;;;;;;;2;;;;;;2;;;;2;;;;;;;;;;;;1;2;1;2;1;1;3;15;5;1;350000;01;0141;6121
